entry_time,exit_time,symbol,type,entry_price,exit_price,exit_reason,volume,pnl,pnl_pips,return_r,confluence_score,duration_hours
2022-01-04 20:00:00,2022-01-05 01:15:00,USDJPY,SELL,116.12989999999999,116.21117142857143,SL,0.001,-8.134142857144065,-812.7142857144065,-1.0012319605773023,8.0,5.25
2022-01-07 12:30:00,2022-01-07 16:30:00,USDJPY,SELL,115.8209,115.74781428571428,TP,0.001,7.301571428571043,730.8571428571042,1.4928508899910093,8.0,4.0
2022-01-10 09:15:00,2022-01-10 13:15:00,USDJPY,BUY,115.7651,115.7354,SL,0.001,-2.977000000000539,-297.0000000000539,-1.0033783783784902,8.0,4.0
2022-01-10 16:00:00,2022-01-10 20:00:00,USDJPY,SELL,115.3929,115.25820714285715,TP,0.001,13.462285714285207,1346.9285714285206,1.4961123452870815,8.0,4.0
2022-01-10 21:30:00,2022-01-11 01:30:00,USDJPY,SELL,115.1709,115.2206,SL,0.001,-4.977000000000141,-497.0000000000141,-1.002016129032325,8.0,4.0
2022-01-11 20:00:00,2022-01-12 00:00:00,USDJPY,SELL,115.4349,115.32238571428573,TP,0.001,11.244428571426914,1125.1428571426914,1.4953483956710054,8.0,4.0
2022-01-12 11:45:00,2022-01-12 15:45:00,USDJPY,BUY,115.3511,115.3036857142857,SL,0.001,-4.748428571429651,-474.1428571429651,-1.0021135265701182,8.0,4.0
2022-01-13 11:45:00,2022-01-13 15:45:00,USDJPY,SELL,114.5279,114.43081428571429,TP,0.001,9.701571428571134,970.8571428571133,1.4946118319768404,8.0,4.0
2022-01-13 20:15:00,2022-01-14 01:15:00,USDJPY,SELL,114.1229,114.20667142857144,SL,0.001,-8.384142857143837,-837.7142857143838,-1.001195151101286,8.0,5.0
2022-01-17 16:30:00,2022-01-17 20:30:00,USDJPY,BUY,114.5271,114.59054285714285,TP,0.001,6.337285714284581,634.4285714284581,1.49177023849469,8.0,4.0
2022-01-17 21:30:00,2022-01-18 01:30:00,USDJPY,BUY,114.5731,114.60439999999998,TP,0.001,3.122999999998745,312.9999999998745,1.4834123222739974,8.0,4.0
2022-01-18 07:15:00,2022-01-18 11:15:00,USDJPY,BUY,114.8331,114.73047142857142,SL,0.001,-10.269857142858195,-1026.2857142858195,-1.0009753378849424,8.0,4.0
2022-01-19 09:30:00,2022-01-19 13:45:00,USDJPY,SELL,114.3819,114.45752857142858,SL,0.001,-7.569857142858092,-756.2857142858093,-1.001324002269762,8.0,4.25
2022-01-21 12:30:00,2022-01-21 16:30:00,USDJPY,BUY,113.89410000000001,113.82368571428572,SL,0.001,-7.048428571429264,-704.1428571429265,-1.0014221861032573,8.0,4.0
2022-01-25 14:45:00,2022-01-25 18:45:00,USDJPY,BUY,114.0421,113.97489999999999,SL,0.001,-6.727000000001391,-672.0000000001392,-1.001490312965772,8.0,4.0
2022-01-28 11:00:00,2022-01-28 15:00:00,USDJPY,BUY,115.5111,115.63829285714284,TP,0.001,12.712285714284468,1271.9285714284467,1.4958837365588364,8.0,4.0
2022-01-28 19:30:00,2022-01-31 01:00:00,USDJPY,SELL,115.2419,115.33495714285715,SL,0.001,-9.312714285714828,-930.5714285714828,-1.0010757645612773,8.0,53.5
2022-02-01 15:15:00,2022-02-02 02:15:00,USDJPY,SELL,114.7109,114.77517142857143,SL,0.001,-6.434142857143053,-642.7142857143053,-1.0015583259127856,8.0,11.0
