entry_time,exit_time,symbol,type,entry_price,exit_price,exit_reason,volume,pnl,pnl_pips,return_r,confluence_score,duration_hours
2022-02-22 16:00:00,2022-02-24 16:00:00,USDCAD,BUY,1.27495,1.285176647673422,TP,0.001,1.0156647673422075,102.26647673422073,1.4503623438909468,9.5,48.0
2022-03-02 12:00:00,2022-03-04 12:00:00,USDCAD,SELL,1.26888,1.2782569115622269,SL,0.001,-0.9446911562226864,-93.76911562226863,-1.0107794495322304,9.5,48.0
2022-03-29 08:00:00,2022-04-11 16:00:00,USDCAD,SELL,1.25091,1.2620919713881393,SL,0.001,-1.1251971388139366,-111.81971388139367,-1.009023665239473,9.5,320.0
2022-04-13 08:00:00,2022-04-14 12:00:00,USDCAD,BUY,1.2643199999999999,1.2526873964589946,SL,0.001,-1.1702603541005259,-116.3260354100526,-1.008671068908632,9.5,28.0
2022-05-12 08:00:00,2022-05-16 20:00:00,USDCAD,BUY,1.3027499999999999,1.2836999493608792,SL,0.001,-1.9120050639120685,-190.50050639120684,-1.0052770307533399,9.5,108.0
2022-05-19 12:00:00,2022-05-31 16:00:00,USDCAD,SELL,1.28173,1.26295349972895,TP,0.001,1.8706500271050046,187.76500271050045,1.472551172846046,9.5,292.0
2022-06-02 08:00:00,2022-06-10 12:00:00,USDCAD,SELL,1.26499,1.2775158830166677,SL,0.001,-1.2595883016667682,-125.25883016667682,-1.0080477178053142,9.5,196.0
2022-06-16 08:00:00,2022-09-15 20:00:00,USDCAD,BUY,1.29249,1.3224223325409927,TP,0.001,2.986233254099281,299.3233254099281,1.4826631584839305,9.5,2196.0
2022-09-29 12:00:00,2022-11-08 16:00:00,USDCAD,BUY,1.37109,1.34463439713872,SL,0.001,-2.6525602861279904,-264.556028612799,-1.0037942596314844,9.5,964.0
2022-11-23 12:00:00,2022-11-24 04:00:00,USDCAD,BUY,1.34126,1.3334301489928342,SL,0.001,-0.7899851007165711,-78.2985100716571,-1.0129368599611153,9.5,16.0
2022-12-15 12:00:00,2022-12-27 12:00:00,USDCAD,BUY,1.36256,1.350656473926164,SL,0.001,-1.1973526073836045,-119.03526073836045,-1.0084720446563549,9.5,288.0
2023-01-26 12:00:00,2023-01-31 08:00:00,USDCAD,SELL,1.33532,1.3455559945802245,SL,0.001,-1.0305994580224394,-102.35994580224394,-1.009865830058265,9.5,116.0
2023-02-01 12:00:00,2023-02-03 16:00:00,USDCAD,SELL,1.33087,1.3422080816211168,SL,0.001,-1.1408081621116823,-113.38081621116824,-1.0088983158666587,9.5,52.0
2023-02-16 12:00:00,2023-02-23 16:00:00,USDCAD,BUY,1.3422,1.357364026254493,TP,0.001,1.509402625449298,151.64026254492978,1.4661596550510068,9.5,172.0
2023-02-28 08:00:00,2023-03-08 04:00:00,USDCAD,BUY,1.35896,1.3760751656637924,TP,0.001,1.7045165663792454,171.15165663792453,1.4699401648912784,9.5,188.0
2023-03-15 20:00:00,2023-03-21 12:00:00,USDCAD,BUY,1.37614,1.364948132348035,SL,0.001,-1.1261867651964892,-111.91867651964893,-1.009015614244394,9.5,136.0
2023-04-11 16:00:00,2023-04-13 16:00:00,USDCAD,SELL,1.34826,1.3378872139995475,TP,0.001,1.030278600045255,103.7278600045255,1.4510388438249213,9.5,48.0
2023-05-04 08:00:00,2023-05-04 20:00:00,USDCAD,BUY,1.36176,1.3527369170112973,SL,0.001,-0.9093082988702802,-90.23082988702801,-1.0112068889336336,9.5,12.0
2023-05-17 16:00:00,2023-05-23 08:00:00,USDCAD,SELL,1.3446,1.3527274933728315,SL,0.001,-0.8197493372831474,-81.27493372831474,-1.0124571887332143,9.5,136.0
2023-06-09 16:00:00,2023-06-22 08:00:00,USDCAD,SELL,1.3344,1.314388363563376,TP,0.001,1.994163643662407,200.11636436624067,1.4742162177566613,9.5,304.0
2023-07-03 08:00:00,2023-07-07 08:00:00,USDCAD,BUY,1.32652,1.3380781541342381,TP,0.001,1.148815413423822,115.58154134238218,1.4559125625951994,9.5,96.0
2023-07-10 12:00:00,2023-07-12 00:00:00,USDCAD,BUY,1.33002,1.3225824478431563,SL,0.001,-0.7507552156843719,-74.37552156843718,-1.0136285232271527,9.5,36.0
2023-07-19 16:00:00,2023-07-28 04:00:00,USDCAD,SELL,1.31705,1.3248534095820275,SL,0.001,-0.787340958202741,-78.03409582027409,-1.0129812648458023,9.5,204.0
2023-08-29 08:00:00,2023-08-30 16:00:00,USDCAD,BUY,1.36125,1.3512292816713818,SL,0.001,-1.0090718328618282,-100.20718328618283,-1.0100799152528621,9.5,32.0
2023-09-18 08:00:00,2023-09-19 12:00:00,USDCAD,SELL,1.3509,1.3386280649224853,TP,0.001,1.2201935077514674,122.71935077514672,1.458405743907271,9.5,28.0
2023-09-22 12:00:00,2023-09-29 16:00:00,USDCAD,SELL,1.34438,1.3546787185091822,SL,0.001,-1.036871850918229,-102.98718509182291,-1.009805153452363,9.5,172.0
2023-10-20 20:00:00,2023-10-27 16:00:00,USDCAD,BUY,1.37148,1.3857435818840356,TP,0.001,1.4193581884035538,142.63581884035537,1.4640745161476478,9.5,164.0
2023-11-22 20:00:00,2023-11-28 16:00:00,USDCAD,SELL,1.36846,1.3563340988036017,TP,0.001,1.2055901196398338,121.25901196398335,1.457918871612136,9.5,140.0
2023-11-30 16:00:00,2023-12-14 16:00:00,USDCAD,SELL,1.35823,1.3422258140145042,TP,0.001,1.5934185985495801,160.041859854958,1.4678981270932374,9.5,336.0
