entry_time,exit_time,symbol,type,entry_price,exit_price,exit_reason,volume,pnl,pnl_pips,return_r,confluence_score,duration_hours
2022-02-09 12:00:00,2022-02-11 20:00:00,EURUSD,BUY,1.14363,1.1329734135330667,SL,0.001,-1.0726586466933237,-106.56586466933237,-1.0094727590507806,9.5,56.0
2022-02-28 08:00:00,2022-03-04 12:00:00,EURUSD,SELL,1.11765,1.0890000973974023,TP,0.001,2.8579902602597698,286.499026025977,1.4818964909229413,9.5,100.0
2022-03-21 08:00:00,2022-03-22 08:00:00,EURUSD,BUY,1.10575,1.0969288985520127,SL,0.001,-0.8891101447987312,-88.21101447987311,-1.0114664415494292,9.5,24.0
2022-03-24 12:00:00,2022-03-29 12:00:00,EURUSD,SELL,1.09725,1.106173984245662,SL,0.001,-0.8993984245661876,-89.23984245661875,-1.011332749154573,9.5,120.0
2022-04-11 16:00:00,2022-04-25 16:00:00,EURUSD,SELL,1.08762,1.0701157103628327,TP,0.001,1.7434289637167326,175.04289637167324,1.47059530170795,9.5,336.0
2022-05-02 16:00:00,2022-05-24 08:00:00,EURUSD,SELL,1.05074,1.0699963231335745,SL,0.001,-1.9326323133574503,-192.56323133574503,-1.0052202084555946,9.5,520.0
2022-05-25 20:00:00,2022-06-10 12:00:00,EURUSD,BUY,1.0684799999999999,1.0546384082689078,SL,0.001,-1.3911591731092117,-138.41591731092117,-1.0072771773428348,9.5,376.0
2022-06-16 08:00:00,2022-07-08 08:00:00,EURUSD,SELL,1.0407,1.0091837006043687,TP,0.001,3.1446299395631274,315.16299395631273,1.4835249147231673,9.5,528.0
2022-07-14 08:00:00,2022-07-19 08:00:00,EURUSD,SELL,1.00187,1.0232619370257867,SL,0.001,-2.146193702578668,-213.91937025786677,-1.0046966135527677,9.5,120.0
2022-08-29 08:00:00,2022-08-31 16:00:00,EURUSD,SELL,0.99368,1.0078986977839732,SL,0.001,-1.428869778397322,-142.1869778397322,-1.0070828061858157,9.5,56.0
2022-09-01 12:00:00,2022-09-09 04:00:00,EURUSD,SELL,0.99866,1.008435358076416,SL,0.001,-0.9845358076416052,-97.75358076416052,-1.010335534789533,9.5,184.0
2022-10-11 20:00:00,2022-10-17 16:00:00,EURUSD,SELL,0.97033,0.9849588149427162,SL,0.001,-1.4698814942716172,-146.28814942716173,-1.0068828738196658,9.5,140.0
2022-10-28 12:00:00,2022-11-02 20:00:00,EURUSD,BUY,0.99697,0.9836184937610639,SL,0.001,-1.3421506238936105,-133.51506238936105,-1.007546311958573,9.5,128.0
2022-11-23 08:00:00,2022-11-28 12:00:00,EURUSD,BUY,1.03256,1.047836294254105,TP,0.001,1.520629425410515,152.76294254105147,1.466402782933525,9.5,124.0
2022-12-12 08:00:00,2023-01-09 16:00:00,EURUSD,BUY,1.05599,1.07379572691361,TP,0.001,1.7735726913610044,178.05726913610042,1.47108350425747,9.5,680.0
2023-01-24 16:00:00,2023-02-06 08:00:00,EURUSD,BUY,1.08838,1.0769700411056256,SL,0.001,-1.147995889437435,-114.0995889437435,-1.0088417651146133,9.5,304.0
2023-02-16 12:00:00,2023-03-22 08:00:00,EURUSD,SELL,1.06779,1.079152405871846,SL,0.001,-1.1432405871846003,-113.62405871846003,-1.0088790975159199,9.5,812.0
2023-04-03 08:00:00,2023-04-04 16:00:00,EURUSD,BUY,1.08434,1.0954343611725792,TP,0.001,1.1024361172579116,110.94361172579114,1.4541258798037715,9.5,32.0
